,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-8512461968928613053,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,The Business Case for Progressive Web Apps,How Apple Keyboards Lost a Logo and Windows PCs Gained One,Plano de Evolução - nível de qualidade equipe Java -,Prototypal Object-Oriented Programming using JavaScript
-8511291357261863413,Dark Scrum,Readable Content Guides,So long MVP. Hello Minimum Loveable Product.,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,The moment when you realize every server in the world is vulnerable - Free Code Camp,Good Software Takes Ten Years. Get Used To it.
-8510490754427841940,How a Chatbot Helped This Vinyl Records Startup Make $1 Million in 8 Months,Why The New Chatbot Invasion Is So Different From Its Predecessors,"Chatbots Are Your Newest, Dumbest Co-Workers",TechCrunch launches a personalized news recommendations bot on Facebook Messenger,Ozlo The AI Chatbot Wants To Help You Find Coffee And Food,Are Chatbots Really The Future Of Web Design?
-8508606815368130888,Revista PROGRAMAR nº 53 - Agosto de 2016,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Google usa aprendizado de máquina para melhorar imagens de baixa qualidade | Google Discovery,Physicists have discovered what makes neural networks so extraordinarily powerful,Google lança experimentos com inteligência artificial | Google Discovery,Burger King aceita pedidos via mensagens no Facebook - Startupi
-8497895589300643949,Where accountability really matters,Conselho da SABMiller aceita proposta de compra da AB InBev,Startups apostam em aplicativos que conectam fretes e caminhoneiros,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,"Automatic lays off 28% of its workforce, aims for profitability in 2017"
-8480712303720557641,Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Google cloud boss Diane Greene: We're winning against AWS and Microsoft,Automate deployments and traffic splitting with the App Engine Admin API,Building immutable entities into Google Cloud Datastore,Google connects BigQuery to Google Drive and Sheets,Google's official Project Wing logo revealed
-8467102776052559275,Creating Your Code Review Checklist - DaedTech,Taking Microservices Home - NGINX,The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,Serverless real-time architecture on AWS: there is a way !,On DRY and the cost of wrongful abstractions,Angular 2 versus React: There Will Be Blood - Free Code Camp
-8427763028519233712,The gig economy as a driver of innovation,In defense of the Uber-ization of everything,Practical Frameworks for Beating Burnout,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,3 Pillars of the Most Successful Tech Products,The End Of Apps As We Know Them - Inside Intercom
-8412113620940365599,The best-and worst-places to be a working woman,As expectativas das mulheres da Geração Y são muitas,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files","Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",O que é liderança? Liderança é fazer a diversidade funcionar.,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity
-8404657131309965885,Visa vai testar nas Olimpíadas do Rio um anel para pagamentos,"Google and Levi's team up on a ""connected"" jacket that lets you answer calls, use maps, and more",Par de alianças impede que seu parceiro assista Netflix sem você,Refactoring to Patterns em Java 8,"contentId
-6878119266243511199    Google acquires Synergyse, an interactive trai...
-6878119266243511199    Google acquires Synergyse, an interactive trai...
Name: title, dtype: object","SINAIS do FUTURO imediato: #1, internet das coisas"
-8392586470872505716,Why Introverts Are Better at Sales Than Extroverts,You can now use MyCokeRewards with Apple Pay (and score a free Coke),Wells Fargo to Verify Customers through Eye Prints,"Smart Managers Don't Compare People to the ""Average""",Two Different Sales Motions . . . .,"contentId
-4975645025178552956    Sem Parar vs Conectcar - DanBP.org
-4975645025178552956                Sem Parar vs Conectcar
Name: title, dtype: object"
-8381230866408697127,Inteligência artificial da IBM criou 'trailer perfeito' para filme,Incendies (2010),The Ten Commandments of Egoless Programming,[Tools] Universities should ban PowerPoint - It makes students stupid and professors boring,Manage Client-Side Packages with Bower - ASP.NET documentation,Um bilhão de arquivos mostram quem vence a disputa tabs vs. espaços entre programadores
-8377626164558006982,Bad Writing Is Destroying Your Company's Productivity,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Twitter adds a button to help you train its algorithm,The emerging Darwinian approach to analytics and augmented intelligence,How to choose algorithms for Microsoft Azure Machine Learning,"Apple acquires Turi, a machine learning company"
-8370744479086515302,Mobile banking conquista o coração dos brasileiros,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,Singapore bank wants you to talk to its chatbot to get your banking done,Marketing Technology Landscape Supergraphic (2016) - Chief Marketing Technologist,Accenture and Adboe team on customer enegagement
-8369610219380465981,Nintendo has doubled in value since Pokémon Go's release,Unilever Buys Dollar Shave Club for $1 Billion,Spark comparison: AWS vs. GCP,Two Different Sales Motions . . . .,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Deep learning software knows that a rose is a rose is a rosa rubiginosa
-8349788035147634450,How Mature is Your Organization when it Comes to UX?,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,How to Think Exponentially and Better Predict the Future,How Airbnb uses Machine Learning to Detect Host Preferences - Airbnb Engineering & Data Science,How We Lost 47% of Our Users After a Redesign | Icons8,Three Lessons for Design-Driven Success
-8340365043226490059,big data = real time,10 principles of business transformation,B2B Ecommerce Growing; Becoming More Like B2C,Especial: O papel dos grandes provedores de TI na Rio 2016,Mobile marketing statistics 2016,The future is the trust economy
-8314629309720421219,Hacked Website Report - 2016/Q3,Drupal and ambitious digital experiences,20 Awesome PHP Libraries For Early 2017,Drupal 8 Front-End Architecture,Top 5 open source command shells for Linux,Why Is Learning Drupal Hard?
-8312968399134741370,How AWS came to be,You won't recognize the new world of digital payments without this report,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Marketing Technology Landscape Supergraphic (2016) - Chief Marketing Technologist,Don't Waste Your Time on Networking Events,NOW NEW NEXT: How growth champions create new value
-8287402887944984163,Containers are not VMs,Announcing Docker Hub Classic,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,Inteligência artificial do Google aprende a aprimorar fotos como nos filmes | Google Discovery,How to Start a Telegram Bot With PHP,Mycroft: The open source answer to natural language platforms
-8282357075607822317,Cross-channel user experiences with Drupal (awesome video demo!),Introducing Google Container Engine (GKE) node pools,"Big data, big differentiators: this week on Google Cloud Platform",Finding The Meaning Of Artificial Intelligence At Google I/O,Inside the offices of New York's biggest startups,The return of the machinery question
-8279505492976427918,"Bots, Messenger and the future of customer service",How the Communicator's Dilemma Made a 'Slack-lash' Inevitable,"Here's what Viv looks like, the next generation AI assistant built by Siri creator","Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",What SWAG will Google I/O 2016 attendees take home?,Ordering coffee in Italy: the 10 commandments
-8278633353687754322,3Dprintler lets you order a 3D print via chatbot,"LendingRobot Lets You Monitor Your Portfolio Performance On Prosper, Lending Club, And Funding Circle","Chatbots Are Your Newest, Dumbest Co-Workers",Why your wallet is becoming the next platform,"Amazon looking to buy Capital One? "" Banking Technology","Miracles of Human Language: An Introduction to Linguistics - Universiteit Leiden, Meertens instituut (KNAW) | Coursera"
-8278375716950339547,Aussie Uses Arduino Chips To Roboticize a Ford Focus,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,"Parece árvore, mas é uma turbina eólica",Vídeos de testes unitários em sistemas embarcados - Embarcados,This Tiny Robot Lets You Play God With Huge AI
-8277924497842156608,GitHub on BigQuery: Analyze all the open source code,Google researchers teach AIs to see the important parts of images - and tell you about them,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,Larry Page's dream of building a 'Google Island' could be coming true,Million Song Dataset | scaling MIR research,Alecrim/AlecrimCoreData
-8258529658421542282,Vision API - Image Content Analysis,Introducing Style Detection for Google Cloud Vision API,System Code Geeks are giving away a FREE Sublime Text Editor License,Bots won't replace apps. Better apps will replace apps.,Ozlo The AI Chatbot Wants To Help You Find Coffee And Food,Veja como funciona o assistente da Adobe que faz edições com comandos de voz
-8257579276626076787,Setting and Calculating a Web Performance Budget,Being A Developer After 40 - Free Code Camp,Novidades do CDI 2.0,Intel's internal IoT platform for real-time enterprise analytics,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,The Joel Test: 12 Steps to Better Code
-8254222281357012124,Dicas para aumentar produtividade: 14 dicas incríveis.,How Green Was My Valley (1941),To Use Physical Or To Use Virtual: That is the container deployment question,Game Of Thrones e suas lições de liderança | Endeavor Brasil,TEDxSãoPaulo,"Por dentro da M__A (ou, se você quiser, Mesa & Cadeira)"
-8248141950199177506,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Suzana Herculano-Houzel deixa o Brasil e expõe problemas profundos da ciência no país,State of Drupal 2016 survey | Dries Buytaert,Coder | Drupal.org,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove
-8245663037926520114,O machismo também mora nos detalhes - Think Olga,Introduction to Spring REST Docs | Baeldung,Google encerra Hangouts On Air e migra transmissões ao vivo para YouTube - Google,Black Mirror (TV Series 2011- ),Críticas de design: dizendo as coisas que precisam ser ditas,The Progress of Web Apps - On the Edge
